URL,Label
https://paypal.com,0
https://paypa1-verify.tk,1
http://192.168.1.1/admin,1
https://confirm-amazon@malicious.com,1
https://paypal.com,0
https://paypa1-verify.tk,1
http://192.168.1.1/admin,1
https://confirm-amazon@malicious.com,1
https://paypal.com,0
https://paypa1-verify.tk,1
http://192.168.1.1/admin,1
https://confirm-amazon@malicious.com,1
https://paypal.com,0
https://paypa1-verify.tk,1
http://192.168.1.1/admin,1
https://confirm-amazon@malicious.com,1
https://paypal.com,0
https://paypa1-verify.tk,1
http://192.168.1.1/admin,1
https://confirm-amazon@malicious.com,1
https://paypal.com,0
https://paypa1-verify.tk,1
http://192.168.1.1/admin,1
https://confirm-amazon@malicious.com,1
https://paypal.com,0
https://paypa1-verify.tk,1
http://192.168.1.1/admin,1
https://confirm-amazon@malicious.com,1
https://paypal.com,0
https://paypa1-verify.tk,1
http://192.168.1.1/admin,1
https://confirm-amazon@malicious.com,1
https://paypal.com,0
https://paypa1-verify.tk,1
http://192.168.1.1/admin,1
https://confirm-amazon@malicious.com,1
https://paypal.com,0
https://paypa1-verify.tk,1
http://192.168.1.1/admin,1
https://confirm-amazon@malicious.com,1
https://paypal.com,0
https://paypa1-verify.tk,1
http://192.168.1.1/admin,1
https://confirm-amazon@malicious.com,1
https://paypal.com,0
https://paypa1-verify.tk,1
http://192.168.1.1/admin,1
https://confirm-amazon@malicious.com,1
https://paypal.com,0
https://paypa1-verify.tk,1
http://192.168.1.1/admin,1
https://confirm-amazon@malicious.com,1
https://paypal.com,0
https://paypa1-verify.tk,1
http://192.168.1.1/admin,1
https://confirm-amazon@malicious.com,1
https://paypal.com,0
https://paypa1-verify.tk,1
http://192.168.1.1/admin,1
https://confirm-amazon@malicious.com,1
https://paypal.com,0
https://paypa1-verify.tk,1
http://192.168.1.1/admin,1
https://confirm-amazon@malicious.com,1
https://paypal.com,0
https://paypa1-verify.tk,1
http://192.168.1.1/admin,1
https://confirm-amazon@malicious.com,1
https://paypal.com,0
https://paypa1-verify.tk,1
http://192.168.1.1/admin,1
https://confirm-amazon@malicious.com,1
https://paypal.com,0
https://paypa1-verify.tk,1
http://192.168.1.1/admin,1
https://confirm-amazon@malicious.com,1
https://paypal.com,0
https://paypa1-verify.tk,1
http://192.168.1.1/admin,1
https://confirm-amazon@malicious.com,1
https://paypal.com,0
https://paypa1-verify.tk,1
http://192.168.1.1/admin,1
https://confirm-amazon@malicious.com,1
https://paypal.com,0
https://paypa1-verify.tk,1
http://192.168.1.1/admin,1
https://confirm-amazon@malicious.com,1
https://paypal.com,0
https://paypa1-verify.tk,1
http://192.168.1.1/admin,1
https://confirm-amazon@malicious.com,1
https://paypal.com,0
https://paypa1-verify.tk,1
http://192.168.1.1/admin,1
https://confirm-amazon@malicious.com,1
https://paypal.com,0
https://paypa1-verify.tk,1
http://192.168.1.1/admin,1
https://confirm-amazon@malicious.com,1
https://paypal.com,0
https://paypa1-verify.tk,1
http://192.168.1.1/admin,1
https://confirm-amazon@malicious.com,1
https://paypal.com,0
https://paypa1-verify.tk,1
http://192.168.1.1/admin,1
https://confirm-amazon@malicious.com,1
https://paypal.com,0
https://paypa1-verify.tk,1
http://192.168.1.1/admin,1
https://confirm-amazon@malicious.com,1
https://paypal.com,0
https://paypa1-verify.tk,1
http://192.168.1.1/admin,1
https://confirm-amazon@malicious.com,1
https://paypal.com,0
https://paypa1-verify.tk,1
http://192.168.1.1/admin,1
https://confirm-amazon@malicious.com,1
https://paypal.com,0
https://paypa1-verify.tk,1
http://192.168.1.1/admin,1
https://confirm-amazon@malicious.com,1
https://paypal.com,0
https://paypa1-verify.tk,1
http://192.168.1.1/admin,1
https://confirm-amazon@malicious.com,1
https://paypal.com,0
https://paypa1-verify.tk,1
http://192.168.1.1/admin,1
https://confirm-amazon@malicious.com,1
https://paypal.com,0
https://paypa1-verify.tk,1
http://192.168.1.1/admin,1
https://confirm-amazon@malicious.com,1
https://paypal.com,0
https://paypa1-verify.tk,1
http://192.168.1.1/admin,1
https://confirm-amazon@malicious.com,1
https://paypal.com,0
https://paypa1-verify.tk,1
http://192.168.1.1/admin,1
https://confirm-amazon@malicious.com,1
https://paypal.com,0
https://paypa1-verify.tk,1
http://192.168.1.1/admin,1
https://confirm-amazon@malicious.com,1
https://paypal.com,0
https://paypa1-verify.tk,1
http://192.168.1.1/admin,1
https://confirm-amazon@malicious.com,1
https://paypal.com,0
https://paypa1-verify.tk,1
http://192.168.1.1/admin,1
https://confirm-amazon@malicious.com,1
https://paypal.com,0
https://paypa1-verify.tk,1
http://192.168.1.1/admin,1
https://confirm-amazon@malicious.com,1
https://paypal.com,0
https://paypa1-verify.tk,1
http://192.168.1.1/admin,1
https://confirm-amazon@malicious.com,1
https://paypal.com,0
https://paypa1-verify.tk,1
http://192.168.1.1/admin,1
